Reporting Period,Permissions,Chart Feature 1,Chart Feature 2,GBP Value,Ratio,Chart,Year
2020Q1,Non-Life,NA,50%,NA,201.06277713944988,Chart 1.2,2020
2020Q1,Non-Life,NA,75%,NA,319.2275909443585,Chart 1.2,2020
2020Q2,Life,NA,25%,NA,141.1965590113787,Chart 1.2,2020
2020Q2,Life,NA,50%,NA,185.19886697204134,Chart 1.2,2020
2020Q2,Life,NA,75%,NA,336.4133580831829,Chart 1.2,2020
2020Q2,Non-Life,NA,25%,NA,155.26030560205567,Chart 1.2,2020
2020Q2,Non-Life,NA,50%,NA,210.7670375338766,Chart 1.2,2020
2020Q2,Non-Life,NA,75%,NA,337.60139047679996,Chart 1.2,2020
2020Q3,Life,NA,25%,NA,145.0618240008513,Chart 1.2,2020
2020Q3,Life,NA,50%,NA,183.47562009762083,Chart 1.2,2020
2020Q3,Life,NA,75%,NA,323.1676844028634,Chart 1.2,2020
2020Q3,Non-Life,NA,25%,NA,159.62516633647982,Chart 1.2,2020
2020Q3,Non-Life,NA,50%,NA,212.6698755415415,Chart 1.2,2020
2020Q3,Non-Life,NA,75%,NA,342.86932161133274,Chart 1.2,2020
2020Q4,Life,NA,25%,NA,150.01379107239634,Chart 1.2,2020
2020Q4,Life,NA,50%,NA,176.5876232692045,Chart 1.2,2020
2020Q4,Life,NA,75%,NA,295.08944893588466,Chart 1.2,2020
2020Q4,Non-Life,NA,25%,NA,156.7806023735773,Chart 1.2,2020
2020Q4,Non-Life,NA,50%,NA,205.95882457507423,Chart 1.2,2020
2020Q4,Non-Life,NA,75%,NA,321.91966731040196,Chart 1.2,2020
2021Q1,Life,NA,25%,NA,158.14409286083819,Chart 1.2,2021
2021Q1,Life,NA,50%,NA,191.05534423022686,Chart 1.2,2021
2021Q1,Life,NA,75%,NA,267.23924126926846,Chart 1.2,2021
2021Q1,Non-Life,NA,25%,NA,158.15667292033984,Chart 1.2,2021
2021Q1,Non-Life,NA,50%,NA,200.13160384761682,Chart 1.2,2021
2021Q1,Non-Life,NA,75%,NA,315.3667796092585,Chart 1.2,2021
