h,bS_lag,bL_lag,lambda_L,chi,V_liab,g,tau,u_i,c,y,pi,i,QL,QL_fund,omega,R,v,s,bL,bS
10,-0.06456418123796248,0.11207687542149669,-1.1857362078618182e-16,0.028247524899999894,0.0,0.0,0.0,0.0,-0.001505879882955731,-0.0009035279297734261,-0.0005467323696165087,-0.0002733661848082561,-0.07804254369566566,-0.05161189347500218,-0.02643065022066346,-0.18879035871902486,-0.027979610526468548,0.0,0.07804254369566553,-0.04560619596595587
11,-0.04560619596595584,0.07804254369566554,-9.130168800535998e-17,0.019773267429999918,0.0,0.0,0.0,0.0,-0.0013053273246889617,-0.0007831963948133677,-0.0004739187430750427,-0.00023695937153752266,-0.054273284162981626,-0.03578730084350713,-0.01848598331947448,-0.13204273799624638,-0.01978541608624118,0.0,0.054273284162981536,-0.03228083360015341
12,-0.03228083360015342,0.05427328416298151,-6.972128902227488e-17,0.013841287200999938,0.0,0.0,0.0,0.0,-0.0011314842862734029,-0.0006788905717640351,-0.0004108024099530967,-0.0002054012049765492,-0.037682280559670114,-0.02475550353743328,-0.012926777022236829,-0.09233412158740599,-0.01402288550421484,0.0,0.037682280559670045,-0.022905601874524395
13,-0.022905601874524402,0.03768228055967003,-5.287197750855843e-17,0.009688901040699954,0.0,0.0,0.0,0.0,-0.0009807936031590355,-0.0005884761618954173,-0.0003560918880909296,-0.00017804594404546565,-0.026109732994152517,-0.01707261426753379,-0.009037118726618722,-0.06455084804727665,-0.00996606146569515,0.0,0.026109732994152465,-0.016301784709783634
14,-0.016301784709783627,0.026109732994152462,-3.985733689106711e-17,0.006782230728489965,0.0,0.0,0.0,0.0,-0.0008501718527315384,-0.0005101031116389199,-0.00030866769447297077,-0.00015433384723648582,-0.018044623652279546,-0.011728717493978942,-0.0063159061583006005,-0.0451136154164329,-0.007106302149010227,0.0,0.018044623652279507,-0.01164343874047575
15,-0.011643438740475747,0.018044623652279504,-2.9893002668300324e-17,0.004747561509942973,0.0,0.0,0.0,0.0,-0.0007369462615263132,-0.0004421677569157855,-0.00026755943844171447,-0.00013377971922085767,-0.012429970022191863,-0.008017570616978779,-0.004412399405213078,-0.031517138608664876,-0.005087149398630171,0.0,0.012429970022191834,-0.008351673652736837
16,-0.008351673652736837,0.01242997002219183,-2.232010865899757e-17,0.00332329305696008,0.0,0.0,0.0,0.0,-0.0006388000151177687,-0.0003832800090706602,-0.0002319259656294035,-0.00011596298281470196,-0.00852651708807493,-0.005445409098338301,-0.003081107989736626,-0.022007914212404493,-0.003658728079868342,0.0,0.008526517088074908,-0.0060206334843751555
17,-0.006020633484375155,0.008526517088074906,-1.6600580815129435e-17,0.002326305139872055,0.0,0.0,0.0,0.0,-0.0005537248516184951,-0.0003322349109710959,-0.00020103814631397836,-0.00010051907315698945,-0.005817334812921547,-0.0036671224317785913,-0.002150212381142956,-0.015358659865306847,-0.0026458183749350573,0.0,0.005817334812921531,-0.00436567058779351
18,-0.004365670587793509,0.005817334812921531,-1.2303959898272402e-17,0.001628413597910438,0.0,0.0,0.0,0.0,-0.00047997996875970153,-0.0002879879812558204,-0.0001742639560157836,-8.713197800789207e-05,-0.003941047599304998,-0.0024415880579332153,-0.0014994595413717821,-0.010710425295512744,-0.0019255001037884205,0.0,0.0039410475993049855,-0.00318705618119554
19,-0.00318705618119554,0.003941047599304984,-9.091259258167939e-18,0.001139889518537306,0.0,0.0,0.0,0.0,-0.00041605640371238377,-0.0002496338422274298,-0.00015105554305521108,-7.552777152760576e-05,-0.002645104640105758,-0.0016004144108309592,-0.0010446902292747986,-0.007462073066248571,-0.001411498299561943,0.0,0.002645104640105749,-0.0023445680062446164
