h,bS_lag,bL_lag,WtA,lambda_L,chi,V_liab,g,tau,u_i,cA,cB,y,pi,i,QL,QL_fund,omega,X,v,s
30,7.938471018414358e-06,7.93847101841433e-06,-1.1258269486493965e-16,9.078342334319103e-21,-4.2044383879998966e-21,5.229177147542505e-21,2.253934029069179e-05,0.0,0.0,3.309232277876001e-06,2.2362363967951197e-05,1.4813977033737793e-05,4.141996138200195e-06,2.0709980691000954e-06,-5.557040107363434e-06,-5.766785103296491e-06,4.90375521354906e-07,-1.112124924235401e-05,-1.1226232521009885e-06,-4.507868058138357e-06
31,5.557040107363452e-06,5.557040107363431e-06,-1.1247526451130537e-16,6.566667621824151e-21,-3.0412104339865906e-21,3.7824381367224095e-21,1.5777538203484243e-05,0.0,0.0,2.316468869381313e-06,1.5654515869971424e-05,1.03701325516365e-05,2.899457686334379e-06,1.449728843167188e-06,-3.8899843301601355e-06,-4.036803589927763e-06,3.43263468440711e-07,-7.785014277635129e-06,-7.858360685856684e-07,-3.1555076406968484e-06
32,3.889984330160149e-06,3.889984330160134e-06,-1.1236650649248734e-16,4.744946926737451e-21,-2.1975197974612774e-21,2.7331165891155455e-21,1.1044276742438962e-05,0.0,0.0,1.6215314062170173e-06,1.0958599905687356e-05,7.259270440551093e-06,2.029651153857487e-06,1.0148255769287424e-06,-2.7230176976441696e-06,-2.825790039343658e-06,2.402847354305161e-07,-5.449581238001004e-06,-5.500851420739847e-07,-2.2088553484877923e-06
33,2.7230176976441797e-06,2.7230176976441687e-06,-1.1225681948276242e-16,3.425258562738597e-21,-1.5863346037923592e-21,1.9729685377677828e-21,7.730993719707268e-06,0.0,0.0,1.1350736139084045e-06,7.671243536593796e-06,5.0815798377924885e-06,1.4207714892695473e-06,7.103857446347729e-07,-1.9061269963059144e-06,-1.9780670544948717e-06,1.6819947150240422e-07,-3.814743171139279e-06,-3.850595454671577e-07,-1.5461987439414535e-06
34,1.9061269963059216e-06,1.9061269963059135e-06,-1.1214649250836451e-16,2.470337993732685e-21,-1.1440837445532766e-21,1.4229288242082788e-21,5.411695603795084e-06,0.0,0.0,7.945523602207187e-07,5.369984419288905e-06,3.557152018569864e-06,9.94548033527635e-07,4.972740167638171e-07,-1.3342963413776726e-06,-1.3846540860352477e-06,1.1773970989714655e-07,-2.6703387200063023e-06,-2.695416543158303e-07,-1.0823391207590167e-06
35,1.3342963413776774e-06,1.334296341377672e-06,-1.1203573484555888e-16,1.7800964954838462e-21,-8.244132865163314e-22,1.0253457703853766e-21,3.788186922656556e-06,0.0,0.0,5.561870754470754e-07,3.759047157003692e-06,2.4900299210735317e-06,6.961876955559479e-07,3.4809384777797363e-07,-9.340112322900384e-07,-9.6926150266868e-07,8.241783760928771e-08,-1.8692465314552401e-06,-1.886791440002852e-07,-7.576373845313112e-07
36,9.340112322900418e-07,9.340112322900378e-07,-1.1192469784820556e-16,1.2816694767483693e-21,-5.935775662917584e-22,7.382489546774706e-22,2.6517308458595876e-06,0.0,0.0,3.893311686077693e-07,2.6313625978997994e-06,1.7430329240325645e-06,4.873334619499696e-07,2.436667309749845e-07,-6.538097956309878e-07,-6.784849080020739e-07,5.7692507050450405e-08,-1.3084773761593738e-06,-1.3207539365385599e-07,-5.303461691719175e-07
37,6.538097956309903e-07,6.538097956309874e-07,-1.1181349085629217e-16,9.220899846606322e-22,-4.270460824154592e-22,5.311291090596244e-22,1.85621159210171e-06,0.0,0.0,2.7253192808313504e-07,1.8419688959356877e-06,1.2201291512434544e-06,3.411344807782906e-07,1.705672403891451e-07,-4.576678419962518e-07,-4.749403814648221e-07,4.0384765489380566e-08,-9.159366114986619e-07,-9.245277191445119e-08,-3.7124231842034203e-07
38,4.5766784199625347e-07,4.5766784199625146e-07,-1.1170219277237343e-16,6.629079349181842e-22,-3.0701150789868134e-22,3.8183876489151345e-22,1.2993481144711962e-06,0.0,0.0,1.9077240583411341e-07,1.2893859102313088e-06,8.540935165706141e-07,2.387946753837314e-07,1.193973376918656e-07,-3.203679913821663e-07,-3.324587490316203e-07,2.826934121425308e-08,-6.411568756855968e-07,-6.471693848198236e-08,-2.598696228942392e-07
39,3.203679913821676e-07,3.203679913821661e-07,-1.1159086047340556e-16,4.76247016401748e-22,-2.2056353067457884e-22,2.743210074089029e-22,9.095436801298367e-07,0.0,0.0,1.3354071280254615e-07,9.025740522244755e-07,5.978670467549242e-07,1.6715654735160302e-07,8.357827367580143e-08,-2.2425784978884687e-07,-2.3272136995533614e-07,1.9788541580825807e-08,-4.4881044883795174e-07,-4.53018559889172e-08,-1.8190873602596734e-07
